Vertices, Edges, Average Degree, Name, Tarjan Vishkin, Tarjan Vishkin with Union Find, Tarjan Vishkin Parallel, Tarjan Vishkin Parallel with Union Find
31379,92826,5.91644,Graphs/graphs//as-caida_G_056.in,0.196526,0.192326,0.177253,0.170762
31379,92334,5.88508,Graphs/graphs//as-caida_G_057.in,0.195369,0.188401,0.177342,0.167834
31379,92170,5.87463,Graphs/graphs//as-caida_G_058.in,0.191209,0.185984,0.176362,0.167136
31379,93156,5.93747,Graphs/graphs//as-caida_G_059.in,0.197944,0.193114,0.179262,0.169882
31379,94180,6.00274,Graphs/graphs//as-caida_G_060.in,0.195914,0.193204,0.180848,0.174095
31379,94386,6.01587,Graphs/graphs//as-caida_G_061.in,0.197838,0.197625,0.177944,0.170926
31379,93728,5.97393,Graphs/graphs//as-caida_G_062.in,0.204941,0.196636,0.181021,0.173299
31379,94736,6.03818,Graphs/graphs//as-caida_G_063.in,0.200732,0.189607,0.184276,0.173582
31379,93558,5.9631,Graphs/graphs//as-caida_G_064.in,0.194897,0.187547,0.17902,0.170691
31379,95068,6.05934,Graphs/graphs//as-caida_G_065.in,0.201959,0.196581,0.181224,0.173325
31379,93212,5.94104,Graphs/graphs//as-caida_G_066.in,0.198499,0.192726,0.17949,0.171961
31379,94484,6.02212,Graphs/graphs//as-caida_G_067.in,0.200714,0.195536,0.181301,0.173985
31379,93310,5.94729,Graphs/graphs//as-caida_G_068.in,0.196678,0.191326,0.182164,0.172203
31379,92190,5.8759,Graphs/graphs//as-caida_G_069.in,0.191816,0.18958,0.172871,0.16619
31379,78684,5.01507,Graphs/graphs//as-caida_G_070.in,0.170936,0.167466,0.148571,0.143088
31379,96012,6.11951,Graphs/graphs//as-caida_G_071.in,0.200147,0.195271,0.184731,0.176994
31379,96404,6.14449,Graphs/graphs//as-caida_G_072.in,0.208368,0.203177,0.185915,0.180893
31379,95554,6.09032,Graphs/graphs//as-caida_G_073.in,0.199454,0.193117,0.181125,0.173616
