Vertices,Edges,Average Degree,Graph Name,Tarjan Vishkin,Tarjan Vishkin with Union Find,Decrease using Union Find (%)
31379,78684,5.01507,Graphs/graphs//as-caida_G_070.in,111226.0,78684.0,29.26
31379,96012,6.11951,Graphs/graphs//as-caida_G_071.in,144824.0,96012.0,33.7
31379,96404,6.14449,Graphs/graphs//as-caida_G_072.in,145542.0,96404.0,33.76
31379,95554,6.09032,Graphs/graphs//as-caida_G_073.in,143784.0,95554.0,33.54
31379,97296,6.20134,Graphs/graphs//as-caida_G_074.in,147028.0,97296.0,33.82
31379,97492,6.21384,Graphs/graphs//as-caida_G_075.in,147218.0,97492.0,33.78
31379,98178,6.25756,Graphs/graphs//as-caida_G_076.in,148522.0,98178.0,33.9
31379,98664,6.28854,Graphs/graphs//as-caida_G_077.in,149304.0,98664.0,33.92
31379,98782,6.29606,Graphs/graphs//as-caida_G_078.in,149454.0,98782.0,33.9
31379,98392,6.2712,Graphs/graphs//as-caida_G_079.in,148750.0,98392.0,33.85
31379,98112,6.25335,Graphs/graphs//as-caida_G_080.in,148070.0,98112.0,33.74
31379,85988,5.48061,Graphs/graphs//as-caida_G_081.in,130166.0,85988.0,33.94
31379,98400,6.27171,Graphs/graphs//as-caida_G_082.in,148518.0,98400.0,33.75
31379,98450,6.2749,Graphs/graphs//as-caida_G_083.in,148520.0,98450.0,33.71
31379,97972,6.24443,Graphs/graphs//as-caida_G_084.in,147412.0,97972.0,33.54
31379,99166,6.32053,Graphs/graphs//as-caida_G_085.in,149740.0,99166.0,33.77
31379,99660,6.35202,Graphs/graphs//as-caida_G_086.in,150414.0,99660.0,33.74
31379,99652,6.35151,Graphs/graphs//as-caida_G_087.in,150324.0,99652.0,33.71
31379,100366,6.39702,Graphs/graphs//as-caida_G_088.in,151650.0,100366.0,33.82
31379,101476,6.46777,Graphs/graphs//as-caida_G_089.in,153734.0,101476.0,33.99
31379,100924,6.43258,Graphs/graphs//as-caida_G_090.in,152552.0,100924.0,33.84
31379,101654,6.47911,Graphs/graphs//as-caida_G_091.in,153758.0,101654.0,33.89
31379,101762,6.48599,Graphs/graphs//as-caida_G_092.in,153924.0,101762.0,33.89
31379,99916,6.36834,Graphs/graphs//as-caida_G_093.in,150214.0,99916.0,33.48
31379,102476,6.5315,Graphs/graphs//as-caida_G_094.in,155016.0,102476.0,33.89
31379,102290,6.51965,Graphs/graphs//as-caida_G_095.in,154698.0,102290.0,33.88
31379,102356,6.52385,Graphs/graphs//as-caida_G_096.in,154534.0,102356.0,33.76
31379,102212,6.51468,Graphs/graphs//as-caida_G_097.in,154314.0,102212.0,33.76
31379,102468,6.53099,Graphs/graphs//as-caida_G_098.in,154622.0,102468.0,33.73
31379,103510,6.59741,Graphs/graphs//as-caida_G_099.in,156492.0,103510.0,33.86
31379,102888,6.55776,Graphs/graphs//as-caida_G_100.in,155150.0,102888.0,33.68
31379,103020,6.56617,Graphs/graphs//as-caida_G_101.in,155434.0,103020.0,33.72
31379,104096,6.63476,Graphs/graphs//as-caida_G_102.in,157490.0,104096.0,33.9
31379,104634,6.66905,Graphs/graphs//as-caida_G_103.in,158322.0,104634.0,33.91
31379,104824,6.68116,Graphs/graphs//as-caida_G_104.in,158598.0,104824.0,33.91
31379,104726,6.67491,Graphs/graphs//as-caida_G_105.in,158500.0,104726.0,33.93
31379,105092,6.69824,Graphs/graphs//as-caida_G_106.in,159028.0,105092.0,33.92
31379,105332,6.71353,Graphs/graphs//as-caida_G_107.in,159274.0,105332.0,33.87
31379,105524,6.72577,Graphs/graphs//as-caida_G_108.in,159656.0,105524.0,33.91
31379,104802,6.67975,Graphs/graphs//as-caida_G_109.in,157954.0,104802.0,33.65
31379,104846,6.68256,Graphs/graphs//as-caida_G_110.in,158212.0,104846.0,33.73
31379,104766,6.67746,Graphs/graphs//as-caida_G_111.in,157934.0,104766.0,33.66
31379,104730,6.67516,Graphs/graphs//as-caida_G_112.in,157486.0,104730.0,33.5
31379,105382,6.71672,Graphs/graphs//as-caida_G_113.in,158722.0,105382.0,33.61
31379,36406,2.32041,Graphs/graphs//as-caida_G_114.in,56774.0,36406.0,35.88
31379,106312,6.776,Graphs/graphs//as-caida_G_115.in,160348.0,106312.0,33.7
31379,106578,6.79295,Graphs/graphs//as-caida_G_116.in,160790.0,106578.0,33.72
31379,106348,6.77829,Graphs/graphs//as-caida_G_117.in,160214.0,106348.0,33.62
31379,107202,6.83272,Graphs/graphs//as-caida_G_118.in,161890.0,107202.0,33.78
31379,106462,6.78556,Graphs/graphs//as-caida_G_119.in,160188.0,106462.0,33.54
